dtime,damt,dtrans
2019-12-08 10:52:02,221000,False
2020-11-29 10:50:19,379000,False
2020-03-26 17:03:52,455000,False
2020-11-02 11:27:28,91000,False
2020-03-04 19:31:36,400000,False
2020-06-08 07:14:14,114000,False
2020-11-02 10:24:48,13000,False
2020-06-09 07:44:36,14000,False
2020-07-31 06:11:09,466000,False
2020-03-23 14:32:11,271000,False
2019-12-10 04:03:43,376000,False
2020-10-16 02:48:36,251000,False
2019-11-10 15:11:35,162000,False
2020-05-25 23:41:13,146000,False
2019-12-18 17:42:24,251000,False
2020-10-03 02:53:37,261000,False
2020-10-21 23:11:17,382000,False
2020-07-09 09:33:58,320000,False
2020-01-16 18:09:54,422000,False
2019-12-16 08:17:40,69000,False
2020-06-08 08:49:06,49000,False
2020-01-30 11:28:59,65000,False
2020-10-29 20:50:59,170000,False
2020-12-04 15:16:07,472000,False
2020-02-11 06:39:22,237000,False
2020-08-14 13:10:08,467000,False
2020-01-02 08:33:59,204000,False
2020-03-22 20:01:18,403000,False
2020-07-15 16:32:58,51000,False
2019-12-17 18:01:39,464000,False
2020-04-26 05:19:29,154000,False
2020-05-23 14:38:44,380000,False
2020-10-23 04:48:52,258000,False
2020-05-12 08:51:42,121000,False
2019-10-18 17:15:41,380000,False
2019-10-19 03:32:16,175000,False
2020-02-27 06:31:21,442000,False
2019-12-27 08:36:14,114000,False
2020-05-07 01:07:48,88000,False
2020-12-01 09:26:26,241000,False
2020-05-01 03:21:51,267000,False
2019-12-27 01:48:50,311000,False
2020-03-20 06:55:36,399000,False
2020-10-15 04:31:59,256000,False
2020-09-03 00:38:12,112000,False
2020-01-14 21:56:57,325000,False
2020-11-16 04:10:20,117000,False
2020-04-12 15:31:52,365000,False
2020-10-29 10:27:31,156000,False
2020-02-29 05:21:51,375000,False
2020-11-08 21:03:31,98000,False
2020-06-01 17:32:32,70000,False
2020-04-02 22:06:15,272000,False
2019-12-23 15:27:46,374000,False
2020-10-19 19:13:44,231000,False
2020-08-03 01:55:38,302000,False
2019-11-09 04:24:14,250000,False
2019-12-20 10:32:16,244000,False
2020-02-09 12:50:27,329000,False
2019-10-31 10:31:14,321000,False
2020-10-14 06:14:18,28000,False
2020-02-20 11:55:44,226000,False
2020-11-09 02:36:14,422000,False
2020-12-09 10:35:28,133000,False
2020-08-04 16:25:47,274000,False
2020-07-14 10:24:03,29000,False
2020-07-30 03:47:52,145000,False
2020-05-16 08:39:10,1000,False
2020-10-20 21:55:14,323000,False
2020-06-24 04:41:44,325000,False
2020-02-07 04:15:22,58000,False
2020-01-13 19:49:11,469000,False
2020-04-27 13:35:13,228000,False
2019-12-04 09:30:20,80000,False
2020-11-18 12:44:41,330000,False
2020-01-17 08:22:12,215000,False
2020-07-15 08:02:50,362000,False
2019-11-26 04:20:08,171000,False
2020-12-11 19:59:12,323000,False
2020-09-20 16:36:22,153000,False
2020-11-30 03:31:32,456000,False
2020-05-04 21:41:16,373000,False
2020-06-05 21:55:34,74000,False
2020-06-16 11:00:00,359000,False
2020-06-12 12:47:13,77000,False
2020-04-16 18:05:45,59000,False
2020-08-01 07:42:30,494000,False
2020-02-13 07:38:53,217000,False
2019-10-27 11:57:31,187000,False
2020-09-25 14:09:43,422000,False
2020-07-08 06:31:24,89000,False
2020-07-24 02:06:03,221000,False
2020-09-30 21:56:01,4000,False
2020-06-23 09:42:53,3000,False
2020-03-11 05:54:33,223000,False
2020-07-08 03:39:36,28000,False
2020-11-12 13:58:28,305000,False
2020-06-24 01:19:27,41000,False
2020-04-28 08:16:13,463000,False
2020-07-29 01:14:07,162000,False
2020-12-16 00:26:11,466000,False
2020-06-26 18:53:26,352000,False
2019-11-20 14:04:39,440000,False
2020-02-26 20:23:04,157000,False
2019-12-22 18:52:10,181000,False
2019-12-12 22:00:22,120000,False
2020-12-08 03:29:06,232000,False
2019-12-30 06:06:22,474000,False
2020-06-01 23:32:47,247000,False
2019-10-29 15:30:18,393000,False
2020-05-24 12:15:50,323000,False
2019-12-08 13:53:20,29000,False
2019-10-26 22:19:47,281000,False
2020-06-25 17:45:36,377000,False
2020-02-12 01:23:19,278000,False
2020-11-23 14:30:34,324000,False
2020-01-17 09:51:42,28000,False
2020-05-22 09:36:44,306000,False
2019-11-26 00:15:22,380000,False
2020-05-18 11:17:14,450000,False
2020-11-30 10:27:19,112000,False
2020-02-18 13:00:32,57000,False
2020-01-03 17:25:50,368000,False
2020-11-07 04:43:24,98000,False
2020-08-17 05:45:20,454000,False
2020-01-02 13:12:13,108000,False
2019-12-28 19:08:37,367000,False
2020-10-28 17:36:50,79000,False
2020-10-05 05:46:57,232000,False
2020-07-25 15:50:45,232000,False
2020-03-19 01:39:39,385000,False
2020-09-17 09:02:28,416000,False
2020-10-25 23:39:53,170000,False
2020-07-01 06:51:54,449000,False
2020-06-11 16:29:28,161000,False
2020-09-27 10:28:23,400000,False
2020-02-19 05:23:04,194000,False
2020-10-19 20:45:40,78000,False
2020-05-09 00:48:07,414000,False
2020-11-13 16:41:40,359000,False
2019-12-15 09:11:50,83000,False
2020-06-14 10:08:50,280000,False
2020-03-14 15:34:50,164000,False
2020-10-13 15:17:32,248000,False
2020-06-06 04:07:58,431000,False
2020-06-19 04:19:35,446000,False
2020-03-16 06:21:08,279000,False
2020-06-26 02:01:42,329000,False
2020-01-08 14:34:07,483000,False
2019-12-12 22:55:07,173000,False
